stimulus,category,seed,block,epoch,pred_A,pred_B
13,B,1,9,4,0.09825935,0.90174073
14,B,1,9,4,0.48776305,0.5122371
1,A,1,10,4,0.9114605,0.0885396
2,A,1,10,4,0.9055169,0.09448303
3,A,1,10,4,0.9055169,0.09448303
4,A,1,10,4,0.9055169,0.09448304
5,A,1,10,4,0.9257199,0.07428006
6,A,1,10,4,0.9055169,0.09448303
7,A,1,10,4,0.5132072,0.48679283
8,B,1,10,4,0.088539615,0.9114605
9,B,1,10,4,0.09448303,0.9055169
10,B,1,10,4,0.09448303,0.9055169
11,B,1,10,4,0.09448303,0.9055169
12,B,1,10,4,0.07428006,0.9257199
13,B,1,10,4,0.09448305,0.9055169
14,B,1,10,4,0.48679283,0.51320726
1,A,1,1,5,0.7444475,0.25555247
2,A,1,1,5,0.7406353,0.25936487
3,A,1,1,5,0.74368864,0.2563114
4,A,1,1,5,0.7406352,0.2593649
5,A,1,1,5,0.74006194,0.259938
6,A,1,1,5,0.7406352,0.2593649
7,A,1,1,5,0.4947405,0.5052596
8,B,1,1,5,0.28086653,0.71913356
9,B,1,1,5,0.28711805,0.7128819
10,B,1,1,5,0.2693685,0.73063153
11,B,1,1,5,0.28711805,0.712882
12,B,1,1,5,0.2912029,0.7087971
13,B,1,1,5,0.28711805,0.7128819
14,B,1,1,5,0.5219225,0.47807735
1,A,1,2,5,0.8119563,0.18804373
2,A,1,2,5,0.8069111,0.19308878
3,A,1,2,5,0.81792045,0.18207952
4,A,1,2,5,0.8069111,0.19308878
5,A,1,2,5,0.80246747,0.19753256
6,A,1,2,5,0.8069111,0.1930888
7,A,1,2,5,0.49016383,0.5098362
8,B,1,2,5,0.18804373,0.8119563
9,B,1,2,5,0.19308878,0.8069111
10,B,1,2,5,0.18207951,0.81792045
11,B,1,2,5,0.19308878,0.8069111
12,B,1,2,5,0.19753256,0.80246747
13,B,1,2,5,0.19308878,0.8069111
14,B,1,2,5,0.50983626,0.49016377
1,A,1,3,5,0.84582984,0.15417029
2,A,1,3,5,0.8403943,0.1596058
3,A,1,3,5,0.85550815,0.14449194
4,A,1,3,5,0.8403943,0.1596058
5,A,1,3,5,0.83544457,0.16455552
6,A,1,3,5,0.8403943,0.1596058
7,A,1,3,5,0.49736473,0.5026353
8,B,1,3,5,0.15417029,0.84582984
9,B,1,3,5,0.15960582,0.8403943
10,B,1,3,5,0.14449194,0.85550815
11,B,1,3,5,0.15960582,0.8403943
12,B,1,3,5,0.16455552,0.83544457
13,B,1,3,5,0.1596058,0.8403943
14,B,1,3,5,0.50263524,0.4973648
1,A,1,4,5,0.8662895,0.13371058
2,A,1,4,5,0.86066127,0.13933863
3,A,1,4,5,0.87828493,0.12171511
4,A,1,4,5,0.86066127,0.13933863
5,A,1,4,5,0.85540473,0.14459518
6,A,1,4,5,0.8606612,0.13933863
7,A,1,4,5,0.5020498,0.49795017
8,B,1,4,5,0.13371058,0.8662895
9,B,1,4,5,0.13933863,0.8606612
10,B,1,4,5,0.12171511,0.87828493
11,B,1,4,5,0.13933863,0.8606612
12,B,1,4,5,0.14459518,0.85540473
13,B,1,4,5,0.13933863,0.8606612
14,B,1,4,5,0.49795017,0.5020498
1,A,1,5,5,0.88000613,0.11999388
2,A,1,5,5,0.87426674,0.1257333
3,A,1,5,5,0.89358026,0.1064198
4,A,1,5,5,0.87426674,0.1257333
5,A,1,5,5,0.868804,0.13119607
6,A,1,5,5,0.87426674,0.12573332
7,A,1,5,5,0.50531596,0.49468413
8,B,1,5,5,0.11999388,0.88000613
9,B,1,5,5,0.1257333,0.87426674
10,B,1,5,5,0.1064198,0.89358026
11,B,1,5,5,0.1257333,0.87426674
12,B,1,5,5,0.13119607,0.8688039
13,B,1,5,5,0.1257333,0.87426674
14,B,1,5,5,0.4946841,0.50531596
