seed,epoch,block,concept,fan_size,fact,prob
1,4,8,c3,4,f6,0.40968799591064453
1,4,8,c3,4,f7,0.13621559739112854
1,4,9,c1,1,f1,0.4396359622478485
1,4,9,c2,2,f2,0.9315258860588074
1,4,9,c2,2,f3,0.047575969249010086
1,4,9,c3,4,f4,0.10248392820358276
1,4,9,c3,4,f5,0.10229521244764328
1,4,9,c3,4,f6,0.41010090708732605
1,4,9,c3,4,f7,0.13626371324062347
1,4,10,c1,1,f1,0.4400148391723633
1,4,10,c2,2,f2,0.9335921406745911
1,4,10,c2,2,f3,0.04730663821101189
1,4,10,c3,4,f4,0.10240393131971359
1,4,10,c3,4,f5,0.10223360359668732
1,4,10,c3,4,f6,0.41042789816856384
1,4,10,c3,4,f7,0.13630178570747375
1,4,11,c1,1,f1,0.44032391905784607
1,4,11,c2,2,f2,0.9352660775184631
1,4,11,c2,2,f3,0.047089263796806335
1,4,11,c3,4,f4,0.10233628004789352
1,4,11,c3,4,f5,0.10218103229999542
1,4,11,c3,4,f6,0.41071197390556335
1,4,11,c3,4,f7,0.13633647561073303
1,4,12,c1,1,f1,0.4405832588672638
1,4,12,c2,2,f2,0.9366501569747925
1,4,12,c2,2,f3,0.0469101257622242
1,4,12,c3,4,f4,0.10227975249290466
1,4,12,c3,4,f5,0.10213712602853775
1,4,12,c3,4,f6,0.41094887256622314
1,4,12,c3,4,f7,0.13636551797389984
32,1,1,c1,1,f1,0.5790162086486816
32,1,1,c2,2,f2,0.5370568633079529
32,1,1,c2,2,f3,0.21084046363830566
32,1,1,c3,4,f4,0.07937194406986237
32,1,1,c3,4,f5,0.07938270270824432
32,1,1,c3,4,f6,0.5761879682540894
32,1,1,c3,4,f7,0.07938270270824432
32,1,2,c1,1,f1,0.8535412549972534
32,1,2,c2,2,f2,0.7008686065673828
32,1,2,c2,2,f3,0.192152202129364
32,1,2,c3,4,f4,0.03796149790287018
32,1,2,c3,4,f5,0.0379728227853775
32,1,2,c3,4,f6,0.827203631401062
32,1,2,c3,4,f7,0.0379728227853775
32,1,3,c1,1,f1,0.9036958813667297
32,1,3,c2,2,f2,0.7316813468933105
32,1,3,c2,2,f3,0.19198323786258698
32,1,3,c3,4,f4,0.030516088008880615
32,1,3,c3,4,f5,0.03052760474383831
32,1,3,c3,4,f6,0.8727830648422241
32,1,3,c3,4,f7,0.03052760474383831
32,1,4,c1,1,f1,0.9468047022819519
32,1,4,c2,2,f2,0.7453149557113647
32,1,4,c2,2,f3,0.1922505497932434
