seed,epoch,block,level,accuracy
356,1,2,basic,0.9875
356,1,2,sub,0.8375
356,1,3,super,1.0
356,1,3,basic,0.9875
356,1,3,sub,0.8375
356,1,4,super,1.0
356,1,4,basic,0.9875
356,1,4,sub,0.8375
356,1,5,super,1.0
356,1,5,basic,0.9875
356,1,5,sub,0.8375
356,1,6,super,1.0
356,1,6,basic,0.9875
356,1,6,sub,0.8375
356,1,7,super,1.0
356,1,7,basic,0.9875
356,1,7,sub,0.8375
356,1,8,super,1.0
356,1,8,basic,0.9875
356,1,8,sub,0.8375
356,1,9,super,1.0
356,1,9,basic,0.9875
356,1,9,sub,0.8375
356,1,10,super,1.0
356,1,10,basic,0.9875
356,1,10,sub,0.8375
356,2,1,super,1.0
356,2,1,basic,0.9875
356,2,1,sub,0.8125
356,2,2,super,1.0
356,2,2,basic,0.9875
356,2,2,sub,0.8375
356,2,3,super,1.0
356,2,3,basic,0.9875
356,2,3,sub,0.8375
356,2,4,super,1.0
356,2,4,basic,0.9875
356,2,4,sub,0.8375
356,2,5,super,1.0
356,2,5,basic,0.9875
356,2,5,sub,0.8375
356,2,6,super,1.0
356,2,6,basic,0.9875
356,2,6,sub,0.8375
356,2,7,super,1.0
356,2,7,basic,0.9875
356,2,7,sub,0.8375
356,2,8,super,1.0
356,2,8,basic,0.9875
356,2,8,sub,0.8375
356,2,9,super,1.0
356,2,9,basic,0.9875
356,2,9,sub,0.8375
356,2,10,super,1.0
356,2,10,basic,0.9875
356,2,10,sub,0.8375
356,3,1,super,1.0
356,3,1,basic,0.9875
356,3,1,sub,0.8333333333333334
356,3,2,super,1.0
356,3,2,basic,0.9875
356,3,2,sub,0.8375
356,3,3,super,1.0
356,3,3,basic,0.9875
356,3,3,sub,0.8375
356,3,4,super,1.0
356,3,4,basic,0.9875
356,3,4,sub,0.8375
356,3,5,super,1.0
356,3,5,basic,0.9875
356,3,5,sub,0.8375
356,3,6,super,1.0
356,3,6,basic,0.9875
356,3,6,sub,0.8375
356,3,7,super,1.0
356,3,7,basic,0.9875
356,3,7,sub,0.8375
356,3,8,super,1.0
356,3,8,basic,0.9875
356,3,8,sub,0.8375
356,3,9,super,1.0
356,3,9,basic,0.9875
356,3,9,sub,0.8375
356,3,10,super,1.0
356,3,10,basic,0.9875
356,3,10,sub,0.8375
356,4,1,super,1.0
356,4,1,basic,0.9875
356,4,1,sub,0.7708333333333334
356,4,2,super,1.0
356,4,2,basic,0.9875
356,4,2,sub,0.8333333333333334
356,4,3,super,1.0
356,4,3,basic,0.9875
356,4,3,sub,0.8333333333333334
356,4,4,super,1.0
356,4,4,basic,0.9875
