seed,code,club,freq,distance_to_111,recog_score,p_club1,p_club1_raw,p_club2_raw,tag
3,142,Neither,1,2,-2.7838846664769497,0.48721298075292624,0.28416587715235464,0.2990818776862215,Other
3,143,Neither,1,2,-3.3390851232170866,0.644232291304393,0.24289297421186914,0.13413403528509002,Other
3,243,Neither,1,3,-3.1472752808605082,0.3211205306291538,0.18658173328961258,0.3944516030842818,Other
3,314,Neither,1,2,-3.181484061144284,0.6989581137079836,0.2662404808946003,0.11467001384476319,Other
3,324,Neither,1,3,-3.1648722528909836,0.5451198255152523,0.304916150989905,0.2544400432224325,Other
3,431,Neither,1,2,-2.7763090188904513,0.6766364547906044,0.22102662476305548,0.10562829191809728,Other
3,432,Neither,1,3,-2.927305268615798,0.39365592831443685,0.20158663503235444,0.31050176636810656,Other
4,112,1,10,1,-1.2073986790816256,0.8094498563356507,0.7404575266547679,0.17430886790213704,Freq_Exemplar
4,121,1,10,1,-1.2002491838810732,0.8329301917895402,0.7523859981299102,0.1509141890243316,Freq_Exemplar
4,211,1,10,1,-1.0856768739510945,0.8788992861579257,0.7953767234726783,0.10959240780246128,Freq_Exemplar
4,113,1,1,1,-3.0237612389668054,0.7222844540897849,0.5986482590795882,0.2301779127836817,Rare_Exemplar
4,131,1,1,1,-2.8137674771474166,0.8067334968242046,0.6807140554324541,0.16307643809751587,Rare_Exemplar
4,311,1,1,1,-3.198340633957972,0.7308236571298997,0.5687742693400277,0.20949045128180535,Rare_Exemplar
4,133,1,1,2,-3.3272788536069875,0.7152703360442536,0.5806726880322736,0.231150001614886,Rare_Exemplar
4,313,1,1,2,-3.4010133676786394,0.5848534334567123,0.45458261658049687,0.32267642060038454,Rare_Exemplar
4,331,1,1,2,-3.353184556999491,0.6146491040741655,0.47673974507301264,0.29888937715781994,Rare_Exemplar
4,221,2,10,2,-1.2040593414011782,0.21611356408448962,0.19960650141145464,0.7240120704122854,Other
4,212,2,10,2,-1.185212560291734,0.1573112232108633,0.14157973662532788,0.7584179478091222,Other
4,122,2,10,2,-1.1992580319408956,0.22181082538635757,0.20454822052461394,0.7176259798027368,Other
4,223,2,1,3,-2.8243800036598907,0.2538171152654787,0.2230514530709683,0.6557366177715704,Other
4,232,2,1,3,-3.0736865447039436,0.3183631443177397,0.2567275174561515,0.5496708425246343,Other
4,322,2,1,3,-2.8507800511213928,0.24937693134178748,0.20515467191681777,0.6175143328422463,Other
4,233,2,1,3,-3.263693762843742,0.33990681585673305,0.27809290553412475,0.5400516345604693,Other
4,323,2,1,3,-2.660669806431336,0.29924103289412,0.24523539453375626,0.5742892280153428,Other
4,332,2,1,3,-3.343175210039323,0.4616074593550426,0.35344293443542857,0.41223562485228005,Other
4,132,Either,10,2,-1.3189290859454206,0.652252118206727,0.5804467536048907,0.30946488853855714,Other
4,321,Either,10,2,-1.466728551845877,0.5058504220031853,0.4528961006386977,0.4424201449131264,Other
4,213,Either,10,2,-1.461808518537033,0.42690410159449654,0.38641168986222996,0.5187370037646841,Other
4,231,Either,0,2,-3.4778327831630516,0.5484646219543705,0.43764803411243375,0.3603032221653939,Other
4,123,Either,0,2,-3.4455379977521305,0.517121670149075,0.40306131838504955,0.3763709538476259,Other
4,312,Either,0,2,-3.4375945227387112,0.5209280840114745,0.3931613133020869,0.3615711063334549,Other
4,111,1,0,0,-3.4531501479089095,0.8469209623871109,0.6381742561840975,0.11534854526523138,Prototype
4,222,2,0,3,-3.419454364872029,0.155398252747609,0.12902467004867343,0.7012592473530854,Other
4,333,Either,0,3,-4.270997763907199,0.44125451703794205,0.3197577009793723,0.40489822577656237,Other
4,444,Neither,0,3,-3.8617356628409905,0.5661107182703077,0.13598013266708014,0.10422046463401541,Other
4,411,Neither,1,1,-3.002760830040598,0.7831779570007947,0.362825834957043,0.10044797365025776,Other
4,422,Neither,1,3,-3.1246026764745047,0.2604407607087957,0.13068916279475196,0.3711107952420712,Other
4,141,Neither,1,1,-2.9983677679486953,0.7842340813359713,0.38055943569713047,0.10470312143228377,Other
4,242,Neither,1,3,-2.6960949643264214,0.27135383505187066,0.11400903815910003,0.30613994605299566,Other
4,114,Neither,1,1,-2.826092774498633,0.7639025817852928,0.3483206621203189,0.10765457664150017,Other
