experiment,subject,stimulus_id,type,correct_cat,p_correct,choice,accuracy,p_A
Exp2,21,Stim12,Old,B,0.5382435976865707,B,1,0.4617564023134293
Exp2,21,Stim16,New,B,0.6350509534361977,B,1,0.3649490465638024
Exp2,21,Stim14,Old,B,0.6864232254680136,B,1,0.31357677453198646
Exp2,21,Stim7,Old,A,0.6580059621386766,A,1,0.6580059621386766
Exp2,22,Stim2,Old,B,0.5588829969073144,B,1,0.4411170030926856
Exp2,22,Stim10,Old,B,0.7311200938007809,B,1,0.26887990619921914
Exp2,22,Stim3,New,B,0.5219650392160766,B,1,0.4780349607839234
Exp2,22,Stim8,New,B,0.5299447133117865,B,1,0.47005528668821356
Exp2,22,Stim12,Old,B,0.5324065408036598,B,1,0.46759345919634027
Exp2,22,Stim5,Old,A,0.6677254776841147,A,1,0.6677254776841147
Exp2,22,Stim4,Old,A,0.6319005072604745,A,1,0.6319005072604745
Exp2,22,Stim13,Old,A,0.6847628539968101,A,1,0.6847628539968101
Exp2,22,Stim16,New,B,0.638559224412737,B,1,0.36144077558726295
Exp2,22,Stim15,Old,A,0.7406734196294904,A,1,0.7406734196294904
Exp2,22,Stim6,New,A,0.7544548967325987,A,1,0.7544548967325987
Exp2,22,Stim7,Old,A,0.7164356570753799,A,1,0.7164356570753799
Exp2,22,Stim1,New,A,0.5189696267229752,A,1,0.5189696267229752
Exp2,22,Stim14,Old,B,0.7411718955142306,B,1,0.2588281044857695
Exp2,22,Stim9,New,A,0.5257800372995453,A,1,0.5257800372995453
Exp2,22,Stim11,New,A,0.516506930607354,A,1,0.516506930607354
Exp2,23,Stim16,New,B,0.6724913529869421,B,1,0.327508647013058
Exp2,23,Stim8,New,B,0.525176970390316,B,1,0.47482302960968403
Exp2,23,Stim3,New,B,0.5342963381151964,B,1,0.46570366188480367
Exp2,23,Stim2,Old,B,0.5319058281136357,B,1,0.4680941718863643
Exp2,23,Stim7,Old,A,0.6729002768878753,A,1,0.6729002768878753
Exp2,23,Stim11,New,A,0.580068128396497,A,1,0.580068128396497
Exp2,23,Stim15,Old,A,0.712045061351768,A,1,0.712045061351768
Exp2,23,Stim9,New,A,0.48121470236122005,B,0,0.48121470236122005
Exp2,23,Stim10,Old,B,0.7149465422091257,B,1,0.28505345779087427
Exp2,23,Stim1,New,A,0.5443239694481572,A,1,0.5443239694481572
Exp2,23,Stim13,Old,A,0.6191458933074242,A,1,0.6191458933074242
Exp2,23,Stim4,Old,A,0.6417471272816058,A,1,0.6417471272816058
Exp2,23,Stim5,Old,A,0.6429990167683433,A,1,0.6429990167683433
Exp2,23,Stim6,New,A,0.7289419501203078,A,1,0.7289419501203078
Exp2,23,Stim14,Old,B,0.6522341344733347,B,1,0.34776586552666533
Exp2,23,Stim12,Old,B,0.5395484475492354,B,1,0.4604515524507646
Exp2,24,Stim15,Old,A,0.7330301525523382,A,1,0.7330301525523382
Exp2,24,Stim4,Old,A,0.6023105419371257,A,1,0.6023105419371257
Exp2,24,Stim16,New,B,0.6899078347254596,B,1,0.3100921652745404
Exp2,24,Stim3,New,B,0.517777470151956,B,1,0.48222252984804403
Exp2,24,Stim9,New,A,0.5101491114002421,A,1,0.5101491114002421
Exp2,24,Stim6,New,A,0.722942933749407,A,1,0.722942933749407
Exp2,24,Stim11,New,A,0.538731022926529,A,1,0.538731022926529
Exp2,24,Stim2,Old,B,0.5970157993527804,B,1,0.4029842006472196
Exp2,24,Stim7,Old,A,0.7433019644233255,A,1,0.7433019644233255
Exp2,24,Stim1,New,A,0.5503212175962395,A,1,0.5503212175962395
Exp2,24,Stim5,Old,A,0.6077865600849117,A,1,0.6077865600849117
